Comment,Designator,Footprint,LCSC,Quantity
0,R2,R_1206_3216Metric,C17888,1
0.1u,"C1,C10,C17,C2,C5,C7",C_0603_1608Metric,C14663,6
0.47u,C18,C_0805_2012Metric,C13967,1
10,"R4,R6",R_0603_1608Metric,C22859,2
100,R3,R_0603_1608Metric,C22775,1
10k,R14,R_0805_2012Metric,C17414,1
120,R11,R_0603_1608Metric,C22787,1
1m,R5,HoYLR2512E,C5375452,1
22k,R13,R_0603_1608Metric,C31850,1
INA226,U1,TSSOP-10_3x3mm_P0.5mm,C49851,1
電圧メータ_秋月_超小型,REF**,電圧メータ_秋月_超小型,,1
2SK4017,Q1,TO-251-3_Vertical,,1
10,R12,R_Axial_Power_L25.0mm_W9.0mm_P7.62mm_Vertical,,1
Conn_01x02_Pin,J7,AMASS_XT30U-F,,1
10u,C11,CP_Radial_D5.0mm_P2.00mm,,1
A31CCQ24VDC1D,K1,DZ85AB5PCB_ForA31CCQ24VDC1D,,1
Conn_01x02_Pin,J8,AMASS_XT30U-F,,1
10u,C12,CP_Radial_D5.0mm_P2.00mm,,1
1N4148,D4,D_DO-35_SOD27_P2.54mm_Vertical_CathodeUp,,1
7.5k,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
Conn_01x02_Pin,J13,Hirose_DF1E-2P-2.5DS_1x02_P2.5mm_Horizontal,,1
LED,D6,LED_D5.0mm,,1
Conn_01x02_Pin,J2,AMASS_XT60-F,,1
Conn_01x02_Pin,J1,AMASS_XT60PW-M,,1
NE555P,U2,DIP-8_W7.62mm,,1
Conn_01x02_Pin,J5,AMASS_XT60-F,,1
7.5k,R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
A31CCQ24VDC1D,K3,DZ85AB5PCB_ForA31CCQ24VDC1D,,1
A31CCQ24VDC1D,K2,DZ85AB5PCB_ForA31CCQ24VDC1D,,1
LED,D3,LED_D5.0mm,,1
LED,D5,LED_D5.0mm,,1
500k,RV2,TRIM_3362P-1-103,,1
Conn_01x02_Pin,J3,AMASS_XT60-F,,1
Conn_01x04_Pin,J10,Hirose_DF1E-04P-2.5DSA,,1
Conn_01x02_Pin,J12,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,,1
7.5k,R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
Conn_01x02_Pin,J4,AMASS_XT60-F,,1
100,R17,R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical,,1
Conn_01x02_Pin,J19,Hirose_DF1E-2P-2.5DS_1x02_P2.5mm_Horizontal,,1
Conn_01x02_Pin,J6,AMASS_XT30U-F,,1
Conn_01x02_Pin,J9,AMASS_XT30U-F,,1
30A,F1,3557-15_KEY,,1
NJM7812FA,U3,NJM7812FA,,1
100,R8,R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical,,1
