Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0603_1608Metric,106.461,-43.241,0.0,bottom
C10,0.1u,C_0603_1608Metric,62.405,-36.37,180.0,bottom
C11,10u,CP_Radial_D5.0mm_P2.00mm,70.025,-33.065,-90.0,top
C12,10u,CP_Radial_D5.0mm_P2.00mm,62.278,-23.953,90.0,top
C17,0.1u,C_0603_1608Metric,52.74,-28.255,0.0,bottom
C18,0.47u,C_0805_2012Metric,50.975,-33.02,90.0,bottom
C2,0.1u,C_0603_1608Metric,101.622,-39.164,270.0,bottom
C5,0.1u,C_0603_1608Metric,107.21,-38.174,270.0,bottom
C7,0.1u,C_0603_1608Metric,63.04,-29.385,270.0,bottom
D3,LED,LED_D5.0mm,101.775,-23.175,90.0,top
D4,1N4148,D_DO-35_SOD27_P2.54mm_Vertical_CathodeUp,70.787,-38.415,-90.0,top
D5,LED,LED_D5.0mm,23.67,-84.135,180.0,top
D6,LED,LED_D5.0mm,23.67,-73.975,180.0,top
F1,30A,3557-15_KEY,109.649,-31.8618,0.0,top
J1,Conn_01x02_Pin,AMASS_XT60PW-M,89.92,-34.035,0.0,top
J10,Conn_01x04_Pin,Hirose_DF1E-04P-2.5DSA,74.236,-24.953,0.0,top
J12,Conn_01x02_Pin,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,115.745,-78.085,90.0,top
J13,Conn_01x02_Pin,Hirose_DF1E-2P-2.5DS_1x02_P2.5mm_Horizontal,109.37456,-67.648507,-90.0,top
J19,Conn_01x02_Pin,Hirose_DF1E-2P-2.5DS_1x02_P2.5mm_Horizontal,30.02,-45.42,90.0,top
J2,Conn_01x02_Pin,AMASS_XT60-F,39.335,-90.485,180.0,top
J3,Conn_01x02_Pin,AMASS_XT60-F,57.115,-90.485,180.0,top
J4,Conn_01x02_Pin,AMASS_XT60-F,74.895,-90.485,180.0,top
J5,Conn_01x02_Pin,AMASS_XT60-F,92.675,-90.485,180.0,top
J6,Conn_01x02_Pin,AMASS_XT30U-F,34.915,-23.175,180.0,top
J7,Conn_01x02_Pin,AMASS_XT30U-F,25.39,-33.335,180.0,top
J8,Conn_01x02_Pin,AMASS_XT30U-F,51.425,-23.175,180.0,top
J9,Conn_01x02_Pin,AMASS_XT30U-F,41.9,-33.335,180.0,top
K1,A31CCQ24VDC1D,DZ85AB5PCB_ForA31CCQ24VDC1D,100.045,-55.015,180.0,top
K2,A31CCQ24VDC1D,DZ85AB5PCB_ForA31CCQ24VDC1D,69.215,-54.99,180.0,top
K3,A31CCQ24VDC1D,DZ85AB5PCB_ForA31CCQ24VDC1D,38.275,-55.015,180.0,top
Q1,2SK4017,TO-251-3_Vertical,60.115,-42.86,180.0,top
R10,7.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,22.4,-65.72,-90.0,top
R11,120,R_0603_1608Metric,59.929,-40.701,180.0,bottom
R12,10,R_Axial_Power_L25.0mm_W9.0mm_P7.62mm_Vertical,56.69,-75.88,180.0,top
R13,22k,R_0603_1608Metric,73.645,-32.065,180.0,bottom
R14,10k,R_0805_2012Metric,63.4445,-40.447,180.0,bottom
R17,100,R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical,40.815,-73.34,180.0,top
R2,0,R_1206_3216Metric,82.0375,-33.435,0.0,bottom
R3,100,R_0603_1608Metric,108.252,-41.463,0.0,bottom
R4,10,R_0603_1608Metric,109.687,-37.399,180.0,bottom
R5,1m,HoYLR2512E,116.38,-39.98,90.0,bottom
R6,10,R_0603_1608Metric,109.687,-39.147,0.0,bottom
R7,7.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,107.49,-21.905,180.0,top
R8,100,R_Axial_DIN0516_L15.5mm_D5.0mm_P5.08mm_Vertical,100.49,-73.34,180.0,top
R9,7.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,23.67,-79.055,180.0,top
REF**,電圧メータ_秋月_超小型,電圧メータ_秋月_超小型,116.0,-91.935,0.0,top
REF**,電圧メータ_秋月_超小型,電圧メータ_秋月_超小型,24.0,-91.935,0.0,top
REF**,電圧メータ_秋月_超小型,電圧メータ_秋月_超小型,24.0,-23.935,0.0,top
REF**,電圧メータ_秋月_超小型,電圧メータ_秋月_超小型,116.0,-23.935,0.0,top
REF**,電圧メータ_秋月_超小型,電圧メータ_秋月_超小型,81.0,-76.515,0.0,top
RV2,500k,TRIM_3362P-1-103,76.883,-35.875,0.0,top
U1,INA226,TSSOP-10_3x3mm_P0.5mm,104.432,-39.041,0.0,bottom
U2,NE555P,DIP-8_W7.62mm,61.775,-33.975,0.0,top
U3,NJM7812FA,NJM7812FA,53.515,-33.335,90.0,top
