Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C4,C8",C_0603_1608Metric,C14663,2
1.5k,R3,R_0603_1608Metric,C22843,1
10u,"C3,C7",C_1206_3216Metric,C13585,2
12k,R2,R_0603_1608Metric,C22790,1
1u,C1,C_0603_1608Metric,C15849,1
4.7u,"C5,C9",C_0805_2012Metric,C1779,2
SS56C,"D2,D3,D5",DIODE_SS56C-HF_CIP,C18199187,3
5A,F1,FUC-03A,,1
430,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
1000u,C2,CP_Radial_D16.0mm_P7.50mm,,1
Conn_01x02_Pin,J2,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,,1
Conn_01x02_Pin,J7,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,,1
Conn_01x07_Socket,J3,YDS512F-Unit,,1
Conn_01x02_Pin,J1,AMASS_XT30PW-M,,1
Conn_01x02_Pin,J4,AMASS_XT30U-F,,1
Conn_01x02_Pin,J5,AMASS_XT30U-F,,1
Conn_01x02_Pin,J10,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,,1
Conn_01x02_Pin,J8,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,,1
7.5k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
Conn_01x02_Pin,J11,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,,1
1000u,C6,CP_Radial_D16.0mm_P7.50mm,,1
Conn_01x02_Pin,J9,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,,1
LED,D1,LED_D5.0mm,,1
M78AR05-1,U1,M78AR05-1,,1
1k,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
M78AR033-1,U2,M78AR033-1,,1
20k,RV1,TRIM_3296W-1-250,,1
LED,D4,LED_D5.0mm,,1
Conn_01x02_Pin,J6,AMASS_XT30U-F,,1
LED,D6,LED_D5.0mm,,1
