Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric,151.845,-35.525,270.0,bottom
C2,1000u,CP_Radial_D16.0mm_P7.50mm,141.05,-36.715,90.0,top
C3,10u,C_1206_3216Metric,137.875,-38.99,90.0,bottom
C4,0.1u,C_0603_1608Metric,135.335,-39.83,90.0,bottom
C5,4.7u,C_0805_2012Metric,156.61,-53.8,0.0,bottom
C6,1000u,CP_Radial_D16.0mm_P7.50mm,123.905,-36.715,90.0,top
C7,10u,C_1206_3216Metric,120.73,-38.99,90.0,bottom
C8,0.1u,C_0603_1608Metric,118.19,-39.69,90.0,bottom
C9,4.7u,C_0805_2012Metric,131.845,-53.8,0.0,bottom
D1,LED,LED_D5.0mm,169.625,-36.02,180.0,top
D2,SS56C,DIODE_SS56C-HF_CIP,105.49,-30.68,90.0,bottom
D3,SS56C,DIODE_SS56C-HF_CIP,146.13,-37.03,90.0,bottom
D4,LED,LED_D5.0mm,157.5,-41.77,90.0,top
D5,SS56C,DIODE_SS56C-HF_CIP,128.985,-37.03,90.0,bottom
D6,LED,LED_D5.0mm,144.225,-50.625,90.0,top
F1,5A,FUC-03A,139.0,-23.5,180.0,top
J1,Conn_01x02_Pin,AMASS_XT30PW-M,158.79,-29.005,0.0,top
J10,Conn_01x02_Pin,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,127.1,-62.055,0.0,top
J11,Conn_01x02_Pin,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,137.26,-62.055,0.0,top
J2,Conn_01x02_Pin,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,94.715,-60.785,0.0,top
J3,Conn_01x07_Socket,YDS512F-Unit,110.57,-42.37,0.0,top
J4,Conn_01x02_Pin,AMASS_XT30U-F,82.72,-31.575,0.0,top
J5,Conn_01x02_Pin,AMASS_XT30U-F,82.72,-43.005,0.0,top
J6,Conn_01x02_Pin,AMASS_XT30U-F,82.72,-55.07,0.0,top
J7,Conn_01x02_Pin,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,149.325,-62.055,0.0,top
J8,Conn_01x02_Pin,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,159.485,-62.055,0.0,top
J9,Conn_01x02_Pin,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,169.75,-52.0,0.0,top
R1,7.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,168.355,-30.305,-90.0,top
R2,12k,R_0603_1608Metric,118.19,-54.88,270.0,bottom
R3,1.5k,R_0603_1608Metric,116.285,-64.15,270.0,bottom
R4,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,152.42,-41.77,90.0,top
R5,430,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,139.145,-50.625,90.0,top
RV1,20k,TRIM_3296W-1-250,118.19,-60.785,90.0,top
U1,M78AR05-1,M78AR05-1,155.02,-51.895,0.0,top
U2,M78AR033-1,M78AR033-1,130.255,-51.895,0.0,top
