Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,1000u,CP_Radial_D16.0mm_P7.50mm,120.71,-59.055,0.0,top
C4,1000u,CP_Radial_D16.0mm_P7.50mm,103.565,-59.055,180.0,top
D1,LED,LED_D5.0mm,126.365,-47.625,90.0,top
D2,SMLJ24A-Q,SMCJSeries_LTF,121.8692,-65.405,180.0,bottom
J1,Conn_01x02_Pin,AMASS_XT60PW-M,108.16,-44.515,0.0,top
J10,Conn_01x02_Pin,AMASS_XT60-F,84.245,-55.88,180.0,top
J11,Conn_01x02_Pin,AMASS_XT60-F,65.195,-55.88,180.0,top
J2,Conn_01x02_Pin,AMASS_XT60PW-F,111.97,-81.85,180.0,top
J3,Conn_01x02_Pin,AMASS_XT60PW-F,90.591667,-81.85,180.0,top
J4,Conn_01x02_Pin,AMASS_XT60PW-F,69.213333,-81.85,180.0,top
J5,Conn_01x02_Pin,AMASS_XT60PW-F,47.835,-81.85,180.0,top
J6,Conn_01x02_Pin,AMASS_XT60PW-F,35.525,-66.885,90.0,top
J7,Conn_01x02_Pin,AMASS_XT60PW-F,35.525,-47.835,90.0,top
J8,Conn_01x02_Pin,AMASS_XT60PW-F,65.195,-35.525,0.0,top
J9,Conn_01x02_Pin,AMASS_XT60PW-F,84.245,-35.525,0.0,top
R1,7.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,128.27,-41.275,-90.0,top
