Comment,Designator,Footprint,LCSC,Quantity
Conn_01x02_Pin,J10,AMASS_XT30U-F,,1
Conn_01x02_Pin,J7,AMASS_XT30U-F,,1
12k,R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
Conn_01x02_Pin,J5,AMASS_XT30U-F,,1
1u,C1,C_Disc_D6.0mm_W4.4mm_P5.00mm,,1
Conn_01x02_Pin,J4,AMASS_XT30U-F,,1
7.5k,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
電圧メータ_秋月_超小型,REF**,電圧メータ_秋月_超小型,,1
12k,R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
SW_Toggle_DPDT,SW1,1MD6-T1-B1-M1-Q-N-S,,1
Conn_01x07_Socket,J9,YDS512F-Unit,,1
Conn_01x07_Socket,J3,YDS512F-Unit,,1
LED,D1,LED_D5.0mm,,1
12k,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
Conn_01x02_Pin,J2,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,,1
1.5k,R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
1.5k,R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
20k,RV3,TRIM_3296W-1-250,,1
1.5k,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,1
Conn_01x02_Pin,J11,AMASS_XT30U-F,,1
Conn_01x02_Pin,J1,AMASS_XT60PW-M,,1
Conn_01x02_Pin,J8,AMASS_XT30U-F,,1
20k,RV1,TRIM_3296W-1-250,,1
Conn_01x07_Socket,J6,YDS512F-Unit,,1
470u,C2,CP_Radial_D10.0mm_P5.00mm,,1
20k,RV2,TRIM_3296W-1-250,,1
