Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_Disc_D6.0mm_W4.4mm_P5.00mm,92.5,-39.5,-90.0,top
C2,470u,CP_Radial_D10.0mm_P5.00mm,114.076903,-47.576903,-45.0,top
D1,LED,LED_D5.0mm,114.3,-34.18,0.0,top
J1,Conn_01x02_Pin,AMASS_XT60PW-M,102.43,-34.525,0.0,top
J10,Conn_01x02_Pin,AMASS_XT30U-F,46.33,-75.455,180.0,top
J11,Conn_01x02_Pin,AMASS_XT30U-F,34.9,-75.455,180.0,top
J2,Conn_01x02_Pin,Hirose_DF1EC-2P-2.5DSA_1x02_P2.5mm_Vertical,104.14,-46.225,90.0,top
J3,Conn_01x07_Socket,YDS512F-Unit,87.615,-42.435,0.0,top
J4,Conn_01x02_Pin,AMASS_XT30U-F,106.02,-75.455,180.0,top
J5,Conn_01x02_Pin,AMASS_XT30U-F,94.59,-75.455,180.0,top
J6,Conn_01x07_Socket,YDS512F-Unit,63.485,-42.435,0.0,top
J7,Conn_01x02_Pin,AMASS_XT30U-F,76.175,-75.455,180.0,top
J8,Conn_01x02_Pin,AMASS_XT30U-F,64.745,-75.455,180.0,top
J9,Conn_01x07_Socket,YDS512F-Unit,39.99,-42.435,0.0,top
R1,7.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,114.305,-29.1,0.0,top
R2,12k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,74.28,-51.96,-90.0,top
R3,1.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,69.835,-61.485,90.0,top
R4,12k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,50.15,-51.96,-90.0,top
R5,1.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,45.705,-61.485,90.0,top
R6,12k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,26.655,-51.96,-90.0,top
R7,1.5k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,22.21,-61.485,90.0,top
REF**,電圧メータ_秋月_超小型,電圧メータ_秋月_超小型,24.0,-76.0,0.0,top
REF**,電圧メータ_秋月_超小型,電圧メータ_秋月_超小型,116.0,-76.0,0.0,top
REF**,電圧メータ_秋月_超小型,電圧メータ_秋月_超小型,24.0,-24.0,0.0,top
REF**,電圧メータ_秋月_超小型,電圧メータ_秋月_超小型,116.0,-24.0,0.0,top
REF**,電圧メータ_秋月_超小型,電圧メータ_秋月_超小型,114.285,-52.895,-90.0,top
RV1,20k,TRIM_3296W-1-250,74.28,-60.215,90.0,top
RV2,20k,TRIM_3296W-1-250,50.15,-60.215,90.0,top
RV3,20k,TRIM_3296W-1-250,26.655,-60.215,90.0,top
SW1,SW_Toggle_DPDT,1MD6-T1-B1-M1-Q-N-S,99.17,-59.820559,-90.0,top
